//Tile Number   b1  b2  b3  b4  b5
1               0   0   0   0   0
2               0   0   0   0   0
3               1   1   1   1   1
4               1   1   1   1   1
5               1   1   0   0   10
6               0   1   0   1   10
7               0   1   0   0   10
8               0   0   0   1   10
9               0   0   1   1   10
10              1   0   1   0   10
11              0   0   1   0   10
12              1   0   0   0   10
13              1	1	1	1	1
14              1	1	1	1	1
15              1	1	1	1	1
16              0   0   0   0   0
17              0   0   0   0   0
18              0   0   0   0   0
19              0   0   0   0   0
20              0   0   0   0   0
21              0   0   0   0   0
22              0   0   0   0   0
23              0   0   0   0   0
24              0   0   0   0   0
//END
