//Tile Number   b1  b2  b3  b4  b5
1               0   0   0   0   0
2               0   0   0   0   0
3               1   1   1   1   1
4               1   1   1   1   1
5               1   1   0   0   10
6               0   1   0   1   10
7               0   1   0   0   10
8               0   0   0   1   10
9               0   0   1   1   10
10              1   0   1   0   10
11              0   0   1   0   10
12              1   0   0   0   10
13              10  10  10  10  1
14              10  10  10  10  1
15              10  10  10  10  1
16              10  10  10  10  1
17              10  10  10  10  1
18              10  10  10  10  1
19              10  10  10  10  1
20              10  10  10  10  1
//END
